isn,prefixMetCode,Naam,Plaats,Jaar,Waardering
180,97884613,[s. n.],Madrid,2011,C
179,97884613,[s. n.],Madrid,2010,C
178,97884613,[s. n.],Madrid,2009,C
177,97884613,[s. n.],Madrid,2008,C
176,97884613,[s. n.],Madrid,2007,C
185,97890807357,[s.n.],,2011,C
184,97890807357,[s.n.],,2010,C
183,97890807357,[s.n.],,2009,C
182,97890807357,[s.n.],,2008,C
181,97890807357,[s.n.],,2007,C
4006,97890817671,24 Media LABS,"Rotterdam, The Netherlands",2011,D
5003,9781910455,5m Publishing,,2016,D
4332,97814081,A. & C. Black,London,2013,C
3894,978946104,Æneas,Boxtel,2012,C
3893,978946104,Æneas,Boxtel,2011,C
4427,978157735,AAAI Press,"Menlo Park, Calif.",2013,C
3614,978877307,Aalborg Universitetsforlag,Aalborg,2012,C
190,978877307,Aalborg Universitetsforlag,Aalborg,2011,C
189,978877307,Aalborg Universitetsforlag,Aalborg,2010,C
188,978877307,Aalborg Universitetsforlag,Aalborg,2009,C
187,978877307,Aalborg Universitetsforlag,Aalborg,2008,C
186,978877307,Aalborg Universitetsforlag,Aalborg,2007,C
4534,9788793053,Aalborg University,Copenhagen,2014,C
195,97890802036,Aardappelwereld BV,Den Haag,2011,C
194,97890802036,Aardappelwereld BV,Den Haag,2010,C
193,97890802036,Aardappelwereld BV,Den Haag,2009,C
192,97890802036,Aardappelwereld BV,Den Haag,2008,C
191,97890802036,Aardappelwereld BV,Den Haag,2007,C
4934,97890802036,Aardappelwereld BV,Den Haag,2016,D
4374,97890802036,Aardappelwereld BV,Den Haag,2013,D
3796,97890802036,Aardappelwereld BV,Den Haag,2012,D
3617,9788791949,"Aarhus Universitet, Faculty of Agricultural Sciences",Tjele,2012,C
200,9788791949,"Aarhus Universitet, Faculty of Agricultural Sciences",Tjele,2011,C
199,9788791949,"Aarhus Universitet, Faculty of Agricultural Sciences",Tjele,2010,C
198,9788791949,"Aarhus Universitet, Faculty of Agricultural Sciences",Tjele,2009,C
197,9788791949,"Aarhus Universitet, Faculty of Agricultural Sciences",Tjele,2008,C
196,9788791949,"Aarhus Universitet, Faculty of Agricultural Sciences",Tjele,2007,C
4761,9788793176,Aarhus University,Aarhus,2015,C
205,9783930413,ABL Bauernblatt-Verl.,Rheda-Wiedenbrück,2011,C
204,9783930413,ABL Bauernblatt-Verl.,Rheda-Wiedenbrück,2010,C
203,9783930413,ABL Bauernblatt-Verl.,Rheda-Wiedenbrück,2009,C
